Fuzzing;Fuzzing for application mapping;None;Software;Test to ensure that the software behaves as per specification and that there are no unintended side effects. Ensure that no assumptions about the validity of data are made., Use fuzz testing during the software QA process to uncover any surprises uncover any assumptions or unexpected behavior.;Improper Neutralization of Special Elements in Output Used by a Downstream Component ('Injection'), 7PK - Errors, Improper Input Validation
Brute Force;Encryption Brute Forcing, Password Brute Forcing;None;Software;Select a provably large secret space for selection of the secret. Provably large means that the procedure by which the secret is selected does not have artifacts that significantly reduce the size of the total secret space., Use a secret space that is well known and with no known patterns that may reduce functional size., Do not provide the means for an attacker to determine success independently. This forces the attacker to check their guesses against an external authority which can slow the attack and warn the defender. This mitigation may not be possible if testing material must appear externally such as with a transmitted cryptotext.;Use of Insufficiently Random Values, Inadequate Encryption Strength, Weak Password Requirements
Buffer Manipulation;Overflow Buffers, Overread Buffers;None;Software;To help protect an application from buffer manipulation attacks, a number of potential mitigations can be leveraged. Before starting the development of the application, consider using a code language (e.g. Java) or compiler that limits the ability of developers to act beyond the bounds of a buffer. If the chosen language is susceptible to buffer related issues (e.g. C) then consider using secure functions instead of those vulnerable to buffer manipulations. If a potentially dangerous function must be used - make sure that proper boundary checking is performed. Additionally there are often a number of compiler-based mechanisms (e.g. StackGuard and ProPolice and the Microsoft Visual Studio /GS flag) that can help identify and protect against potential buffer issues. Finally - there may be operating system level preventative functionality that can be applied.;Improper Restriction of Operations within the Bounds of a Memory Buffer
Shared Resource Manipulation;None;None;Software, Hardware;None;Improper Isolation of Shared Resources on System-on-a-Chip (SoC), Improper Isolation of Shared Resources in Network On Chip
Pointer Manipulation;None;None;Software;None;Incorrect Calculation, Untrusted Pointer Dereference, Use of Out-of-range Pointer Offset
Input Data Manipulation;Path Traversal, Integer Attacks, Leverage Alternate Encoding;None;Software;None;Improper Input Validation
Content Spoofing;Checksum Spoofing, Spoofing of UDDI/ebXML Messages, Intent Spoof, Counterfeit GPS Signals;None;Software, Hardware, Communications;None;None
Identity Spoofing;Pharming, Phishing, Fake the Source of Data, Principal Spoof, Signature Spoof;None;Software, Communications, Social Engineering;None;None
Resource Location Spoofing;Redirect Access to Libraries, Establish Rogue Location;None;Software, Hardware, Communications, Social Engineering;Monitor network activity to detect any anomalous or unauthorized communication exchanges.;None
Action Spoofing;Clickjacking, Android Activity Hijack, Task Impresonation, Tapjacking;None;Software, Social Engineering;Avoid interacting with suspicious sites or clicking suspicious links., An organization should provide regular robust cybersecurity training to its employees.;None
Manipulate Human Behavior;Pretexting, Influence Perception, Target Influence via Framing, Influence via Incentives, Influence via Psychological Principles;None;Social Engineering;An organization should provide regular robust cybersecurity training to its employees to prevent successful social engineering attacks.;None
Infrastructure Manipulation;Cache Poisoning, Force the System to Reset Values, Audit Log Manipulation, Contradictory Destinations in Traffic Routing Schemes, Block Logging to Central Repository;None;Software, Hardware, Communications;None;None
File Manipulation;User-Controlled Filename, Artificially Inflate File Sizes, Alternative Execution Due to Deceptive Filenames, Hiding Malicious Data or Code within Files;None;Software;None;None
Configuration/Environment;Manipulating Writeable Configuration Files, Manipulate Registry Information, Schema Poisoning, Data Injected During Configuration, Disable Security Software;None;Software, Hardware, Supply Chain;None;External Control of System or Configuration Setting, Improper Hardware Lock Protection for Security Sensitive Controls or Hardware Internal or Debug Modes Allow Override of Locks
Software Integrity Attack;Malicious Software Download, Malicious Software Update;None;Software, Social Engineering;None;Download of Code Without Integrity Check
Modification During Manufacture;Development Alteration, Design Alteration;None;Software, Hardware, Supply Chain;None;None
Manipulation During Distribution;Malicious Hardware Component Replacement, Malicious Software Implanted, Rogue Integration Procedures;None;Hardware, Supply Chain;None;Product Released in Non-Release Configuration
Hardware Integrity Attack;Physically Hacking Hardware, Malicious Hardware Update;None;Hardware, Supply Chain, Physical Security;None;None
Malicious Logic Insertion;Infected Software, Infected Hardware, Infected Memory;None;Software, Hardware, Supply Chain;None;Improper Access Control
Contaminate Resource;None;None;Software, Hardware;None;None
Obstruction;Physical Destruction of Device or Component, Route Disabling, Jamming, Blockage;None;Software, Hardware, Communications, Social Engineering, Physical Security;None;None
Parameter Injection;Argument Injection, Command Delimiters, Email Injection, Format String Injection, Reflection Injection, Flash Injection;None;Software, Social Engineering;Implement an audit log written to a separate host. In the event of a compromise the audit log may be able to provide evidence and details of the compromise. Treat all user input as untrusted data that must be validated before use.;Improper Neutralization of Argument Delimiters in a Command (Argument Injection)
Code Inclusion;Local Code Inclusion, Remote Code Inclusion;None;Software;None;Inclusion of Functionality from Untrusted Control Sphere
Resource Injection;Cellular Data Injection;None;Software, Communications;Ensure all input content that is delivered to client is sanitized against an acceptable content specification. Perform input validation for all content. Enforce regular patching of software;Improper Control of Resource Identifiers (Resource Injection)
Code Injection;Embedding Scripts within Scripts, File Content Injection, Using Meta-characters in E-mail Headers to Inject Malicious Payloads, Cross-Site Scripting (XSS), Generic Cross-Browser Cross-Domain Theft;None;Software;Utilize strict type and character and encoding enforcement, Ensure all input content that is delivered to client is sanitized against an acceptable content specification., Perform input validation for all content., Enforce regular patching of software.;Improper Control of Generation of Code (Code Injection)
Command Injection;Manipulating Writeable Terminal Devices, SQL Injection, OS Command Injection, LDAP Injection, IMAP/SMTP Command Injection, XML Injection;None;Software;All user-controllable input should be validated and filtered for potentially unwanted characters. Using an allowlist for input is desired but if use of a denylist approach is necessary then focusing on command related terms and delimiters is necessary., Input should be encoded prior to use in commands to make sure command related characters are not treated as part of the command. For example quotation characters may need to be encoded so that the application does not treat the quotation as a delimiter., Input should be parameterized or restricted to data sections of a command thus removing the chance that the input will be treated as part of the command itself.;Improper Neutralization of Special Elements used in a Command (Command Injection)
Local Execution of Code;Targeted Malware;Windows Admin Shares with Stolen Credentials, Use of Captured Hashes (Pass The Hash);Software;Employ robust cybersecurity training for all employees., Implement system antivirus software that scans all attachments before opening them., Regularly patch all software., Execute all suspicious files in a sandbox environment.;Inclusion of Functionality from Untrusted Control Sphere
Object Injection;None;None;Software;Implementation: Validate object before deserialization process, Design: Limit which types can be deserialized., Implementation: Avoid having unnecessary types or gadgets available that can be leveraged for malicious ends. Use an allowlist of acceptable classes., Implementation: Keep session state on the server when possible.;Deserialization of Untrusted Data
Traffic Injection;Connection Reset;None;Software, Communications;None;Improper Verification of Source of a Communication Channel
Hardware Fault Injection;Mobile Device Fault Injection;None;Hardware, Communications;Implement robust physical security countermeasures and monitoring.;Missing or Improperly Implemented Protection Against Voltage and Clock Glitches, Semiconductor Defects in Hardware Logic with Security-Sensitive Implications, Hardware Features Enable Physical Attacks from Software, Improper Protection against Electromagnetic Fault Injection (EM-FI), Insufficient Protection Against Instruction Skipping Via Fault Injection, Unauthorized Error Injection Can Degrade Hardware Redundancy
